paper_id,question_no,section_code,question_type
cet6_2023_06_2,14,listening,listening_mcq
cet6_2023_06_2,46,reading_c,reading_mcq
cet6_2023_06_2,51,reading_c,reading_mcq
cet6_2023_06_3,1,listening,listening_mcq
cet6_2023_06_3,2,listening,listening_mcq
cet6_2023_06_3,3,listening,listening_mcq
cet6_2023_06_3,4,listening,listening_mcq
cet6_2023_06_3,5,listening,listening_mcq
cet6_2023_06_3,6,listening,listening_mcq
cet6_2023_06_3,7,listening,listening_mcq
cet6_2023_06_3,8,listening,listening_mcq
cet6_2023_06_3,9,listening,listening_mcq
cet6_2023_06_3,10,listening,listening_mcq
cet6_2023_06_3,11,listening,listening_mcq
cet6_2023_06_3,12,listening,listening_mcq
cet6_2023_06_3,13,listening,listening_mcq
cet6_2023_06_3,14,listening,listening_mcq
cet6_2023_06_3,15,listening,listening_mcq
cet6_2023_06_3,16,listening,listening_mcq
cet6_2023_06_3,17,listening,listening_mcq
cet6_2023_06_3,18,listening,listening_mcq
cet6_2023_06_3,19,listening,listening_mcq
cet6_2023_06_3,20,listening,listening_mcq
cet6_2023_06_3,21,listening,listening_mcq
cet6_2023_06_3,22,listening,listening_mcq
cet6_2023_06_3,23,listening,listening_mcq
cet6_2023_06_3,24,listening,listening_mcq
cet6_2023_06_3,25,listening,listening_mcq
cet6_2023_06_3,54,reading_c,reading_mcq
cet6_2023_12_1,6,listening,listening_mcq
cet6_2023_12_1,7,listening,listening_mcq
cet6_2023_12_1,8,listening,listening_mcq
cet6_2023_12_1,13,listening,listening_mcq
cet6_2023_12_1,14,listening,listening_mcq
cet6_2023_12_1,15,listening,listening_mcq
cet6_2023_12_1,16,listening,listening_mcq
cet6_2023_12_1,47,reading_c,reading_mcq
cet6_2023_12_1,49,reading_c,reading_mcq
cet6_2023_12_1,50,reading_c,reading_mcq
cet6_2023_12_2,10,listening,listening_mcq
cet6_2023_12_2,11,listening,listening_mcq
cet6_2023_12_2,13,listening,listening_mcq
cet6_2023_12_2,14,listening,listening_mcq
cet6_2023_12_2,15,listening,listening_mcq
cet6_2023_12_2,17,listening,listening_mcq
cet6_2023_12_2,20,listening,listening_mcq
cet6_2023_12_2,26,reading_a,cloze_blank
cet6_2023_12_2,27,reading_a,cloze_blank
cet6_2023_12_2,28,reading_a,cloze_blank
cet6_2023_12_2,29,reading_a,cloze_blank
cet6_2023_12_2,30,reading_a,cloze_blank
cet6_2023_12_2,31,reading_a,cloze_blank
cet6_2023_12_2,32,reading_a,cloze_blank
cet6_2023_12_2,33,reading_a,cloze_blank
cet6_2023_12_2,34,reading_a,cloze_blank
cet6_2023_12_2,35,reading_a,cloze_blank
cet6_2023_12_2,36,reading_b,matching
cet6_2023_12_2,37,reading_b,matching
cet6_2023_12_2,38,reading_b,matching
cet6_2023_12_2,39,reading_b,matching
cet6_2023_12_2,40,reading_b,matching
cet6_2023_12_2,41,reading_b,matching
cet6_2023_12_2,42,reading_b,matching
cet6_2023_12_2,43,reading_b,matching
cet6_2023_12_2,44,reading_b,matching
cet6_2023_12_2,45,reading_b,matching
cet6_2023_12_2,46,reading_c,reading_mcq
cet6_2023_12_2,47,reading_c,reading_mcq
cet6_2023_12_2,49,reading_c,reading_mcq
cet6_2023_12_2,50,reading_c,reading_mcq
cet6_2023_12_2,53,reading_c,reading_mcq
cet6_2023_12_3,10,listening,listening_mcq
cet6_2023_12_3,11,listening,listening_mcq
cet6_2023_12_3,13,listening,listening_mcq
cet6_2023_12_3,14,listening,listening_mcq
cet6_2023_12_3,15,listening,listening_mcq
cet6_2023_12_3,17,listening,listening_mcq
cet6_2023_12_3,20,listening,listening_mcq
cet6_2023_12_3,26,reading_a,cloze_blank
cet6_2023_12_3,27,reading_a,cloze_blank
